   Simtime [s] 	   Realtime [s]	 Percentage [%]
          0.241	       189.5208	            4.8
          0.242	       189.5716	            4.8
          0.243	       189.7879	            4.9
          0.244	       189.8725	            4.9
          0.245	       190.1321	            4.9
          0.246	       190.1971	            4.9
          0.247	        190.412	            4.9
          0.248	       190.4513	              5
          0.249	        190.706	              5
           0.25	       190.9646	              5
          0.251	       191.1799	              5
          0.252	         191.21	              5
          0.253	       191.4177	            5.1
          0.254	       191.4997	            5.1
          0.255	        191.763	            5.1
          0.256	       191.8306	            5.1
          0.257	       192.0423	            5.1
          0.258	       192.0731	            5.2
          0.259	       192.3264	            5.2
           0.26	       192.6046	            5.2
          0.261	       192.8255	            5.2
          0.262	       192.8545	            5.2
          0.263	        193.065	            5.3
          0.264	        193.138	            5.3
          0.265	       193.3993	            5.3
          0.266	       193.4777	            5.3
          0.267	       193.7004	            5.3
          0.268	       193.7401	            5.4
          0.269	       193.9988	            5.4
           0.27	        194.264	            5.4
          0.271	       194.4789	            5.4
          0.272	       194.5079	            5.4
          0.273	        194.719	            5.5
          0.274	       194.7916	            5.5
          0.275	       195.0786	            5.5
          0.276	       195.1503	            5.5
          0.277	       195.3653	            5.5
          0.278	       195.4045	            5.6
          0.279	       195.6531	            5.6
           0.28	        195.927	            5.6
          0.281	       196.1391	            5.6
          0.282	       196.1799	            5.6
          0.283	       196.3904	            5.7
          0.284	       196.4662	            5.7
          0.285	       196.7286	            5.7
          0.286	       196.7998	            5.7
          0.287	       197.0194	            5.7
          0.288	       197.0484	            5.8
          0.289	       197.3054	            5.8
           0.29	        197.572	            5.8
          0.291	       197.7865	            5.8
          0.292	       197.8162	            5.8
          0.293	       198.0313	            5.9
          0.294	       198.1059	            5.9
          0.295	       198.3644	            5.9
          0.296	         198.42	            5.9
          0.297	       198.6527	            5.9
          0.298	       198.6922	              6
          0.299	       198.9509	              6
            0.3	       199.2099	              6
          0.301	       199.4212	              6
          0.302	       199.4608	              6
          0.303	       199.6687	            6.1
          0.304	       199.7534	            6.1
          0.305	       200.0205	            6.1
          0.306	       200.0711	            6.1
          0.307	       200.3204	            6.1
          0.308	       200.3483	            6.2
          0.309	       200.6022	            6.2
           0.31	       200.8773	            6.2
          0.311	       201.0993	            6.2
          0.312	       201.1289	            6.2
          0.313	       201.3403	            6.3
          0.314	       201.4245	            6.3
          0.315	       201.6849	            6.3
          0.316	       201.7144	            6.3
          0.317	       201.9681	            6.3
          0.318	       201.9975	            6.4
          0.319	       202.2486	            6.4
           0.32	       202.5138	            6.4
          0.321	       202.7281	            6.4
          0.322	       202.7685	            6.4
          0.323	       202.9813	            6.5
          0.324	       203.0523	            6.5
          0.325	       203.3234	            6.5
          0.326	       203.3539	            6.5
          0.327	       203.6092	            6.5
          0.328	       203.6611	            6.6
          0.329	       203.9116	            6.6
           0.33	       204.1789	            6.6
          0.331	       204.4031	            6.6
          0.332	       204.4528	            6.6
          0.333	       204.6777	            6.7
          0.334	       204.7628	            6.7
          0.335	       205.0221	            6.7
          0.336	       205.0508	            6.7
          0.337	        205.299	            6.7
          0.338	       205.3284	            6.8
          0.339	       205.5825	            6.8
           0.34	       205.8415	            6.8
          0.341	       206.0547	            6.8
          0.342	       206.1166	            6.8
          0.343	       206.3257	            6.9
          0.344	       206.4066	            6.9
          0.345	       206.6664	            6.9
          0.346	        206.695	            6.9
          0.347	       206.9428	            6.9
          0.348	       206.9728	              7
          0.349	       207.2261	              7
           0.35	       207.4851	              7
          0.351	       207.7052	              7
          0.352	        207.734	              7
          0.353	       207.9438	            7.1
          0.354	       208.0257	            7.1
          0.355	       208.2913	            7.1
          0.356	       208.3201	            7.1
          0.357	       208.5703	            7.1
          0.358	       208.6219	            7.2
          0.359	       208.8781	            7.2
           0.36	       209.1282	            7.2
          0.361	       209.3408	            7.2
          0.362	       209.3801	            7.2
          0.363	       209.6029	            7.3
          0.364	       209.6848	            7.3
          0.365	       209.9462	            7.3
          0.366	        209.975	            7.3
          0.367	       210.2383	            7.3
          0.368	       210.2687	            7.4
          0.369	       210.5282	            7.4
           0.37	       210.7815	            7.4
          0.371	        210.993	            7.4
          0.372	       211.0221	            7.4
          0.373	       211.2343	            7.5
          0.374	       211.3071	            7.5
          0.375	       211.5873	            7.5
          0.376	       211.6271	            7.5
          0.377	       211.8718	            7.5
          0.378	       211.9002	            7.6
          0.379	       212.1524	            7.6
           0.38	       212.4132	            7.6
          0.381	       212.6281	            7.6
          0.382	       212.6567	            7.6
          0.383	       212.8684	            7.7
          0.384	        212.941	            7.7
          0.385	       213.1968	            7.7
          0.386	        213.227	            7.7
          0.387	       213.4815	            7.7
          0.388	       213.5101	            7.8
          0.389	       213.7652	            7.8
           0.39	       214.0266	            7.8
          0.391	       214.2517	            7.8
          0.392	       214.2818	            7.8
          0.393	       214.4891	            7.9
          0.394	       214.5709	            7.9
          0.395	       214.8336	            7.9
          0.396	       214.8624	            7.9
          0.397	       215.1105	            7.9
          0.398	       215.1513	              8
          0.399	       215.4077	              8
            0.4	       215.6323	              8
          0.401	       215.8971	              8
          0.402	       215.9284	              8
          0.403	       216.1403	            8.1
          0.404	       216.2147	            8.1
          0.405	        216.475	            8.1
          0.406	       216.5041	            8.1
          0.407	       216.7544	            8.1
          0.408	       216.7834	            8.2
          0.409	       217.0483	            8.2
           0.41	       217.2143	            8.2
          0.411	       217.5246	            8.2
          0.412	       217.5535	            8.2
          0.413	       217.7624	            8.3
          0.414	       217.8357	            8.3
          0.415	       218.1003	            8.3
          0.416	       218.1285	            8.3
          0.417	       218.3739	            8.3
          0.418	        218.402	            8.4
          0.419	       218.6505	            8.4
           0.42	       218.7135	            8.4
          0.421	       219.1268	            8.4
          0.422	       219.1576	            8.4
          0.423	       219.3731	            8.5
          0.424	       219.4485	            8.5
          0.425	       219.6733	            8.5
          0.426	       219.7507	            8.5
          0.427	       220.0005	            8.5
          0.428	       220.0404	            8.6
          0.429	       220.2973	            8.6
           0.43	       220.3264	            8.6
          0.431	       220.7651	            8.6
          0.432	       220.7957	            8.6
          0.433	       221.0056	            8.7
          0.434	       221.0757	            8.7
          0.435	       221.2851	            8.7
          0.436	       221.3667	            8.7
          0.437	       221.6192	            8.7
          0.438	       221.6582	            8.8
          0.439	        221.911	            8.8
           0.44	       221.9416	            8.8
          0.441	       222.3808	            8.8
          0.442	       222.4334	            8.8
          0.443	        222.644	            8.9
          0.444	       222.7167	            8.9
          0.445	       222.9311	            8.9
          0.446	         223.01	            8.9
          0.447	       223.2585	            8.9
          0.448	       223.2876	              9
          0.449	       223.5577	              9
           0.45	       223.5862	              9
          0.451	       224.0175	              9
          0.452	       224.0469	              9
          0.453	       224.2736	            9.1
          0.454	       224.3451	            9.1
          0.455	       224.5556	            9.1
          0.456	       224.6346	            9.1
          0.457	        224.888	            9.1
          0.458	       224.9163	            9.2
          0.459	       225.1657	            9.2
           0.46	       225.1942	            9.2
          0.461	       225.6343	            9.2
          0.462	       225.6945	            9.2
          0.463	       225.9078	            9.3
          0.464	       225.9914	            9.3
          0.465	       226.2076	            9.3
          0.466	       226.3077	            9.3
          0.467	       226.5525	            9.3
          0.468	       226.5811	            9.4
          0.469	        226.853	            9.4
           0.47	       226.8826	            9.4
          0.471	       227.3237	            9.4
          0.472	       227.3656	            9.4
          0.473	       227.5818	            9.5
          0.474	       227.6665	            9.5
          0.475	       227.8741	            9.5
          0.476	       227.9721	            9.5
          0.477	        228.222	            9.5
          0.478	       228.2512	            9.6
          0.479	       228.5066	            9.6
           0.48	       228.5378	            9.6
          0.481	       228.9837	            9.6
          0.482	       229.0135	            9.6
          0.483	       229.2311	            9.7
          0.484	       229.3026	            9.7
          0.485	       229.5138	            9.7
          0.486	        229.594	            9.7
          0.487	       229.8529	            9.7
          0.488	       229.9027	            9.8
          0.489	       230.1575	            9.8
           0.49	       230.1883	            9.8
          0.491	       230.6373	            9.8
          0.492	       230.6804	            9.8
          0.493	       230.8913	            9.9
          0.494	        230.976	            9.9
          0.495	       231.1967	            9.9
